"Image","Description"
"Indoor/indoor_9_1.jpg","Ice rink filled with families, children and adults. Two men, and two children hold hands in a row of four. It is a least chilly with many wearing hats, and warm coats. "
"Indoor/indoor_3_1.jpg","a library, which is similar to that of trinity college belfast, rows of brown bookshelves filled with old leather bound books. at the end of the corridor a large partly stained glass window. The ceiling is highly decora"
"Indoor/indoor_1_15.jpg","An almost empty, modernist indoor pooL with sliding glass windows around the entire building and multiple skylights. Four beach chairs at the end of the pool, to the right a gie"
"Outdoor/outdoor_4_1.jpg","Train pulls into a staion, the time is just after 6.10pm, a woman in a mask looks at the train. The station is filled with one other person, sat on a bench. It appears to be a fairly old station metal"
"Indoor/indoor_5_4.jpg","Arcade, lit only by the various machines, these are mostly ball games for prizes instead of the usual video games often depicted. It has a styrofoam ceiling. The lights are purple, blue, and green in neon. "
"Outdoor/outdoor_10_1.jpg","A large football stadium, possibly wembley, filled with people. Play is mainly on the left hand side of the field, allowing the goal keeper on the opposite side to exit his bo"
"Outdoor/outdoor_14_3.jpg","Countryside, a river with a grassy bank to the left, and the right surrounded by trees and bushes which bend over the water, it is a sunny day the plants reflected in the water showing the blue sky. "
"Indoor/indoor_11_3.jpg","An art deco, art nouveux style bar, with 5 stools. Absent of all people, very symmentrical down to the bottles of alcohol. The lamps appear to be of women holding up the light bu"
"Indoor/indoor_7_1.jpg","A large greenhouse appear to be a garden centre, filled with various palms and other plants used to higher temperatures, hoses lie underneath the table leading out of the greenhouse. "
"Outdoor/outdoor_9_15.jpg","A skatepark devoid of people. Smooth concrete, no graffiti. In the distance, houses and electricity pylons, along with flood lighting for the field behind the park. A lone tree stands in the middle distance. "
"Outdoor/outdoor_6_1.jpg","San Franciscos Golden Gate Bridge. Stretches across the river, the city in the far ditance. Cars are crossing the bridge, looking like ants in comparison to the bridge. "
"Outdoor/outdoor_12_1.jpg","The ruins of a stone archway, in a field with trees behind it obscuring the view behind. Moss and plants grow out of the bricks, the arch remains in tact, the walla"
"Outdoor/outdoor_8_1.jpg","City at gridlock, the lights are green, skyscrapers surround the roads, a lexus is immediatley in front. "
